TimestampUtc,Device,Remaining_mWh,Rate_mW,Voltage_mV,Temperature_C,Health_pct,Designed_mWh,Full_mWh,CycleCount
2025-08-28T14:53:49.9074429Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:53:49.9074429Z,ASUS Battery,76,0,11850,,,0,0,
2025-08-28T14:53:55.7852308Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:53:55.7852308Z,ASUS Battery,75,0,11850,,,0,0,
2025-08-28T14:54:01.2859224Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:54:01.2859224Z,ASUS Battery,75,0,11850,,,0,0,
2025-08-28T14:54:06.7932569Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:54:06.7932569Z,ASUS Battery,75,0,11850,,,0,0,
2025-08-28T14:54:12.2843030Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:54:12.2843030Z,ASUS Battery,75,0,11850,,,0,0,
2025-08-28T14:54:17.7939789Z,WinRTAggregate,23937,0,0,,,0,31307,
2025-08-28T14:54:17.7939789Z,ASUS Battery,75,0,11850,,,0,0,
